분류,자치구,공연/행사명,날짜,장소,기관명,이용대상,이용요금,문의,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,경도(Y좌표),위도(X좌표),유무료,문화포털상세URL,행사시간
콘서트,강북구,[꿈의숲아트센터] 꿈의숲 마티네 콘서트 [벨에포크 아트&뮤직] 시리즈2,2026-06-24~2026-06-24,꿈의숲아트센터 콘서트홀,세종문화회관,"성인, 청소년","전석 15,000원",02-399-1000,,,,https://www.sejongpac.or.kr/dfac/dfacPerformance/dfacPerformance/performTicket.do?performIdx=37103&menuNo=1200007,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eb3c1a4d183744d2a19bf409cdc5cc87&thumb=Y,2026-05-06,기관,00:00.0,00:00.0,기타,127.0443247,37.62025446,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157755&menuNo=200008,11:00
국악,구로구,[구로문화재단] 퓨전국악 콘서트_6월의 퀸(Queen),2026-06-19~2026-06-19,오류아트홀,구로문화재단,초등학생 이상,"전석 20,000원",02-2614-7970,,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3946&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=40a19a1f88b944a4a75f7f8fd0f58053&thumb=Y,2026-04-24,기관,00:00.0,00:00.0,기타,126.8460358,37.49535812,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157620&menuNo=200008,19:30
교육/체험,서초구,[서울문화예술교육센터 서초] 앙상블시리즈 [지중해의 바로크],2026-06-19~2026-06-19,서울문화예술교육센터 서초 5층 서울체임버홀,서울문화재단,만 7세 이상 / 240명,,02-3399-0725,,,,https://www.sfac.or.kr/asa/edu/view.do?eduMstSeq=36682,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c59bfba9758f413fbeeb778bbc452fd3&thumb=Y,2026-04-30,기관,00:00.0,00:00.0,기타,126.9983081,37.50471771,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157707&menuNo=200011,19:30 ~ 21:00
교육/체험,송파구,[한성백제박물관] 2026 초등단체 비대면 [한성부터 서울까지] (서울역사박물관 공동교육),2026-06-18~2026-07-03,비대면 원격교육,한성백제박물관,"초등학생(3-5학년 학급(반별신청), 돌봄단체)",,"한성백제박물관 02-2152-5839, 5838, 서울역사박물관 02-724-0215, 0183",,,,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260416095504620846,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a251ccb1125f4b72ad5ba60bab9d52a1&thumb=Y,2026-04-20,기관,00:00.0,00:00.0,어린이/청소년 문화행사,127.1208894,37.51543881,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157541&menuNo=200011,"목, 금 양일 교육(1회차 9:30~10:30, 2회차 10:40~11:40)"
클래식,용산구,[국립박물관문화재단] 인문학콘서트 [유물로 읽는 삶],2026-06-17~2026-06-18,국립중앙박물관 극장 용,기타,초등학생 이상 ,"전석 30,000원",1544-5955,진행: 이호선 교수/ 연주: 서울오케스트라,"21세기, 어른으로 살아가는 법 / 나를 돌보고, 관계를 이어가며, 가족의 시간을 만들어가는 이야기. 유물과 함께 풀어보는 인문학 콘서트",공연명: <뮤지엄 모먼트> '유물로 만나는 흑역사' 공연일자: 6.10(수)&11(목) 10:30 관람연령: 초등학생 이상 러닝타임: 약 70분 (인터미션 없음) 문의사항: 1544-5955 주최 및 주관 : 국립박물관문화재단 오시는 길: 서울시 용산구 서빙고로 137,https://www.ticketlink.co.kr/product/62768,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9a5519c0c7ce410dbf5a4b5152340ac4&thumb=Y,2026-04-23,기관,00:00.0,00:00.0,기타,126.9777402,37.52470224,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157589&menuNo=200008,15:00
콘서트,강북구,[강북문화재단] 2026 마티네 콘서트 [탱고가 흐르는 아침],2026-06-17~2026-06-17,강북문화예술회관 강북진달래홀,강북문화재단,8세이상 관람가,전석 2만원 / 강북구민 1만원,02-994-8503,,,,https://www.gbcf.or.kr/load.asp?subPage=110.View&page=1&idx=422,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=470dce4252fa4f3dad45ea34323a2c34&thumb=Y,2026-04-30,기관,00:00.0,00:00.0,기타,127.0138781,37.64098979,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157711&menuNo=200008,11:00
교육/체험,강북구,"[서울문화예술교육센터 강북] 워크숍 'play, play' [말하고 싶은 '탈'_2기]",2026-06-13~2026-06-20,4층 대강의실,서울문화재단,초등 4~6학년 총 20명,,02-2105-2321,,,,https://www.sfac.or.kr/asa/edu/view.do?eduMstSeq=36837,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b77d36d7e62f46088bc2903719df7d50&thumb=Y,2026-04-30,기관,00:00.0,00:00.0,어린이/청소년 문화행사,127.0177222,37.61955517,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157705&menuNo=200011,13:00~15:00
뮤지컬/오페라,구로구,[구로문화재단] 2026 이달의 공연 [사운드트립]_6월 최정원&드림뮤지컬,2026-06-13~2026-06-13,구로근린공원 (기상악화 시 구로구청 강당),구로문화재단,8세 이상 관람가,,02-2029-1725 / 1700,,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3950&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=93a4ffe561c7423d82e781ef1343664c&thumb=Y,2026-04-30,기관,00:00.0,00:00.0,기타,126.8895927,37.49712336,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157710&menuNo=200008,14:00
기타,서초구,제5회 서초구 아버지센터 [서리풀 아마추어 남성 성악 콩쿠르],2026-06-13~2026-06-13,방배열린문화센터 4층 대강당,기타,성인 남성 ,"100,000원 (반주비 추가 별도)","02-2155-8398, 8400",,,,https://papa-power.com/bbs/?b_code=notice&mode=view&b_idx=99993971.000,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1a5b609d1b284d66a548025af4d9cffb&thumb=Y,2026-04-28,시민,00:00.0,00:00.0,기타,126.993747,37.48915961,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157668&menuNo=200013,접수 마감일 이후 홈페이지 게시 및 개별 공지
교육/체험,서초구,"[서울문화예술교육센터 서초] 6월, 음악가의 사적인 플레이리스트 [감동?기록?추억 사이에 ‘음악’이 있다]",2026-06-13~2026-06-13,서울문화예술교육센터 서초 1층 리스닝 룸,서울문화재단,일반 성인 40명 ,,02-3399-0777,,,,https://www.sfac.or.kr/asa/edu/view.do?eduMstSeq=36778,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=03389901e96c4b7691544a39329becfa&thumb=Y,2026-04-24,기관,00:00.0,00:00.0,기타,126.9983081,37.50471771,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157612&menuNo=200011,14:00 ~ 15:10
클래식,용산구,[국립박물관문화재단] 뮤지엄 모먼트 [인문학 클래식 콘서트],2026-06-10~2026-06-11,국립중앙박물관 극장 용,기타,초등학생 이상,"전석 30,000원",1544-5955,문화유산 해설: 안지영/ 클래식 해설; 김희준/ 연주: 서울오케스트라,,공연명: <뮤지엄 모먼트> '유물로 만나는 흑역사' 공연일자: 6.10(수)&11(목) 10:30 관람연령: 초등학생 이상 러닝타임: 약 70분 (인터미션 없음) 문의사항: 1544-5955 주최 및 주관 : 국립박물관문화재단 오시는 길: 서울시 용산구 서빙고로 137,https://www.ticketlink.co.kr/product/62769,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fdec9b93677a4a0799cc69cb513ffd7b&thumb=Y,2026-04-23,기관,00:00.0,00:00.0,기타,126.9777402,37.52470224,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157588&menuNo=200008,10:30
콘서트,서초구,(사)서울윈드오케스트라 제 119회 정기연주회 [윈드 오케스트라로 만나는 국악음악],2026-06-10~2026-06-10,예술의 전당 콘서트홀,기타,누구나,"R석 80,000원 / S석 60,000원 / A석 40,000원 / B석 20,000원 (학생 50%할인)",02-586-0945 ,"(사)서울윈드오케스트라, 지휘 - 김응두 ",(사)서울윈드오케스트라 제 119회 정기연주회 - 윈드 오케스트라로 만나는 국악음악,"협연자 : 대금 - 임진옥, 피리 - 곽태규, 피리&생황 - 강영근, 가야금 - 민의식, 가야금병창 - 이선",https://tickets.interpark.com/goods/26005903,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=42c9b504a45f439bbaabc86a6bd68dbe&thumb=Y,2026-04-29,시민,00:00.0,00:00.0,기타,127.0142152,37.4802402,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157675&menuNo=200008,19:30
뮤지컬/오페라,은평구,[세종문화회관] 26세종시즌 [더 트라이브],2026-06-09~2026-06-27,세종M씨어터,세종문화회관,"7세 이상 관람 가능 (2019년 포함, 이전 출생자)","R석 80,000원 S석 60,000원",02-399-1000,,,,https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=36781&menuNo=200320#none,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f92f244e42644f5c89b8a471e843d7e4&thumb=Y,2026-05-04,기관,00:00.0,00:00.0,기타,126.9760053,37.5726241,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157723&menuNo=200008,"화-금 19:30 / 토 15:00, 19:00 / 일 15:00"
교육/체험,종로구,[서울무형유산교육전시장] 2026년 2차 일반교육(12주) 모집 안내,2026-06-05~2026-08-29,서울무형유산 교육전시장,서울무형유산교육전시장,홈페이지 참고,강좌별 상이,02-742-6444,,,,https://seoulmaster.co.kr/bbs/board.php?bo_table=bbs1&wr_id=216,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=75b8ae86399341c9b7b6814ea67ad550&thumb=Y,2026-05-07,기관,00:00.0,00:00.0,기타,126.9911045,37.57693514,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157774&menuNo=200011,프로그램 별 상이
축제-관광/체육,광진구,제3회 쉬엄쉬엄 한강 3종축제,2026-06-05~2026-06-07,"뚝섬한강공원,잠실한강공원 일대",서울시청,누구나,"30,000원",1544 - 5340 ,,,,https://www.sium-sium.com/festival-overview,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7b1e65c1c99542bb9b42128ef3f0927c&thumb=Y,2026-04-14,기관,00:00.0,00:00.0,기타,127.0739782,37.52936457,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157429&menuNo=200010,9:00 ~ 18:00
클래식,종로구,Violinist 박정현 & Harpist 이진 듀오 리사이틀,2026-06-05~2026-06-05,세종체임버홀,세종문화회관,7세 이상 관람 가능 (2019년 이전 출생자),"전석 30,000원",02-518-9792,,,,https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=37190&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb4c99b5d8a648efacc93077dde066a5&thumb=Y,2026-05-06,시민,00:00.0,00:00.0,기타,126.9760053,37.5726241,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157752&menuNo=200008,19:30
교육/체험,마포구,[마포구립서강도서관] 6월/읽는 인간_호모 부커스 II. [유발 하라리의 『넥서스』 읽기],2026-06-04~2026-06-25,서강도서관 3층 세미나실,마포구청,일반 20명,,02-3141-7053,,,,https://mplib.mapo.go.kr/sglib/PGM3028/eventDetail.do?eventSn=12508,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d236efbbe9cb4842ac9d198b4780f874&thumb=Y,2026-04-30,기관,00:00.0,00:00.0,기타,126.9320618,37.54773473,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157712&menuNo=200011,매주 목요일 19:00~21:00
클래식,마포구,[마포문화재단]  2026 M 아티스트 [선율 피아노 리사이틀Ⅰ],2026-06-04~2026-06-04,마포아트센터 아트홀맥,마포문화재단,8세이상,"R석 30,000원, S석 20,000원","02-3274-8600 [문의1번] 평일 09:00-18:00 (토,일 공휴일 휴무)",,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2624&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d6f837f3994446a4aff0c7403e54e90e&thumb=Y,2026-04-15,기관,00:00.0,00:00.0,기타,126.9455338,37.54990609,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157451&menuNo=200008,19:30
연극,마포구,[마포문화재단] 연극 [미미의 미미한 연애],2026-06-03~2026-06-07,마포아트센터 플레이맥,마포문화재단,14세 이상,"전석 50,000원","02-3274-8600 [문의1번]평일 9:00-~8:00 (토,일 공휴일 휴무)",,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2629&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a34b846f1ca64ef6b3cf7ba6c744abd9&thumb=Y,2026-04-15,기관,00:00.0,00:00.0,기타,126.9455338,37.54990609,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157450&menuNo=200008,"수-금 19:30, 토-일 15:00"
독주/독창회,종로구,구민희 피아노 독주회,2026-06-03~2026-06-03,세종체임버홀,세종문화회관,7세 이상 관람 가능 (2019년 이전 출생자),"전석 20,000원",02-6412-3053,,,,https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=37213&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f9998f21fca24adaa44891d6c94a4f27&thumb=Y,2026-05-06,시민,00:00.0,00:00.0,기타,126.9760053,37.5726241,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157753&menuNo=200008,17:00
클래식,서대문구,김진환 비올라 독주회 : 존재의 교향곡,2026-06-02~2026-06-02,금호아트홀 연세,기타,누구나,"전석 30,000 (학생할인 50%)", 02-521-8211,,,,https://www.onenessinart.com,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=368e8a9bbce34800be0200fd97d8eb8a&thumb=Y,2026-04-03,시민,00:00.0,00:00.0,기타,126.9439162,37.56605084,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157299&menuNo=200008,19:30 ~ 21:00
교육/체험,강북구,[광대생각] 2026 유아문화예술교육 [나를 데려다줘!] 참여 유아교육기관 모집,2026-06-01~2026-06-30,1회차  유아교육기관(유치원/어린이집) / 2~4회차 성북문화예술교육센터,기타,"서울시 소재 유아교육기관(유치원, 어린이집 등)",,070-7695-9770,"주강사 : 강경선, 김정운, 민현기 / 보조강사 : 김유찬, 이가원",2026년 광대생각의 새로운 예술교육 프로그램으로 길을 잃은 '뭉탱이'들과 함께하는 따뜻한 동화적 세계관에서 유아가 깊은 몰입과 연대를 경험할 수 있습니다.,전통연희의 몸짓과 신나는 장단 속에서 자연스럽게 몸을 움직이며 유아의 잠재된 예술 감각과 표현력을 깨웁니다. 어린이가 놀이의 주체가 되어 강사의 개입 없이 또래와 협력하며 이야기 속 문제를 스스로 탐구하고 해결하는 힘을 키워갑니다.,https://blog.naver.com/2013playedu,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=43af3aba047a47359aa00e81f103a36a&thumb=Y,2026-04-28,시민,00:00.0,00:00.0,어린이/청소년 문화행사,127.0497896,37.61024113,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157657&menuNo=200011,"10:30~12:30 / 13:00~15:00, 택 1 진행"
독주/독창회,종로구,이한올 플루트 독주회,2026-06-01~2026-06-01,세종체임버홀,세종문화회관,7세 이상 관람 가능 (2019년 이전 출생자 2019년생 포함),"전석 20,000원",02-586-0945,,,,https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=37169&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5478072ffb8e42369243f4627bee3867&thumb=Y,2026-05-06,시민,00:00.0,00:00.0,기타,126.9760053,37.5726241,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157754&menuNo=200008,19:30
교육/체험,노원구,[서울시립과학관] 과학북토크: 달작한 사이언스 (5월) [응! 생물학],2026-05-31~2026-05-31,서울시립과학관 3층 스타홀,서울시립과학관,과학과 책을 좋아하는 누구나,,02-970-4581,,,,https://science.seoul.go.kr/program/lecture/info?menuId=15&progMstId=1921,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=866e02616fda4b4dbaa9caeeb0eed9c2&thumb=Y,2026-05-07,기관,00:00.0,00:00.0,기타,127.0774371,37.64199411,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157770&menuNo=200011,15:00
교육/체험,성동구,[성동구립도서관] 5월 영어스토리텔링 수업,2026-05-31~2026-05-31,성동구립도서관,성동문화재단,어린이,,02-2204-6438,,,,https://www.sdlib.or.kr/SD/edusat/list.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a1533fe9090f45e5b48f80e7a0c90edc&thumb=Y,2026-04-22,기관,00:00.0,00:00.0,어린이/청소년 문화행사,127.0349607,37.55917988,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157557&menuNo=200011,[6~7세] 10:30 [8~9세] 11:30
전시/미술,서초구,2026 서리풀 청년작가 특별전: 작업 진행 중,2026-05-30~2026-06-14,예술의전당 한가람미술관 제7전시실,서초문화재단,누구나,무료,02-3477-2074,"김준수, 모립(이유진), 설고은, 심은지, 장입규, 전기수, 최고래, 콜렉티브 비빔",,,https://www.sac.or.kr/site/main/show/show_view?SN=76452#non,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1ef3464f74f347b0bcc7e5f853a6c625&thumb=Y,2026-05-07,기관,00:00.0,00:00.0,기타,127.0142152,37.4802402,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157781&menuNo=200009,화 - 일 10:00 ~ 19:00 (※ 매주 월요일 휴관)
콘서트,중구,[서울갤러리] 런치 스테이지 [하모니시스트 이한결],2026-05-30~2026-05-30,서울갤러리 지하 1층 공연장,서울시청,누구나,,02-6324-1400,,,,https://www.seoul.go.kr/seoulgallery/www/program/view.do?key=2509020016&prgmSn=68,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0710eab66ec445cb875249ed11889095&thumb=Y,2026-05-06,기관,00:00.0,00:00.0,기타,126.9779184,37.56637078,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157750&menuNo=200008,14:00 ~ 14:30
콘서트,마포구,이모셔널 데미지 락페스티벌 2026,2026-05-30~2026-05-30,서울 KT&G 상상마당 홍대 라이브홀,기타,만15세 이상,"70,000원",0507-1496-0867,"차이니즈풋볼, 바닐라유니티, 할로우잰, 초록불꽃소년단, 소음발광, 할로우잰",한국 이모 락과 얼터너티브 씬의 에너지를 증명할 이틀간의 기록,,https://booking.naver.com/booking/5/bizes/1609770,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=254b8a0183ac404cb0883a3e8db33d5c&thumb=Y,2026-04-22,시민,00:00.0,00:00.0,기타,126.921063,37.5509577,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157556&menuNo=200008,18:00 ~ 22:00
교육/체험,은평구,[구산동도서관마을] 「SF영화 속 우주과학 빼먹기」 루카 저자와의 만남 : 과학적 상상력을 넓히는 시간,2026-05-30~2026-05-30,구산동도서관마을 3층 힐링캠프,은평구청,청소년 및 성인 (*초등학생은 성인 보호자 동석 시 참여 가능),,02-357-0100 (내선3),,,,https://www.gsvlib.or.kr/culture/event.asp?mode=view&lecture_seq=840,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1b69a993edef4df6ae0c7e3e827820aa&thumb=Y,2026-05-07,기관,00:00.0,00:00.0,기타,126.9126892,37.61017852,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157771&menuNo=200011,14:00 ~ 16:00
